,index,number,link,title,img
0,"Dr. Elissa Epel: Control Stress for Healthy Eating, Metabolism & Aging | Huberman Lab Podcast",1.0,https://www.youtube.com/watch?v=ulHrUVV3Kq4&list=UU2D2CMWXMOVWx7giW1n3LIg&index=1&pp=iAQB,"Dr. Elissa Epel: Control Stress for Healthy Eating, Metabolism & Aging | Huberman Lab Podcast",https://i.ytimg.com/vi/ulHrUVV3Kq4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB13UAxQQikM0-jxglak0UryMxafQ
1,Leverage Dopamine to Overcome Procrastination & Optimize Effort | Huberman Lab Podcast,2.0,https://www.youtube.com/watch?v=K-TW2Chpz4k&list=UU2D2CMWXMOVWx7giW1n3LIg&index=2&pp=iAQB,Leverage Dopamine to Overcome Procrastination & Optimize Effort | Huberman Lab Podcast,https://i.ytimg.com/vi/K-TW2Chpz4k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBDFyfD5lRWiMmma3ls4XH_ZaUBFw
2,"AMA #5: Intrusive Thoughts, CGMs, Behavioral Change, Naps & NSDR",3.0,https://www.youtube.com/watch?v=cp9GXl9Qk_s&list=UU2D2CMWXMOVWx7giW1n3LIg&index=3&pp=iAQB,"AMA #5: Intrusive Thoughts, CGMs, Behavioral Change, Naps & NSDR",https://i.ytimg.com/vi/cp9GXl9Qk_s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDUyXqqESuwwisEfVv8xsyIm0C-MQ
3,"Dr. Peter Attia: Improve Vitality, Emotional & Physical Health & Lifespan | Huberman Lab Podcast",4.0,https://www.youtube.com/watch?v=ufsIA5NARIo&list=UU2D2CMWXMOVWx7giW1n3LIg&index=4&pp=iAQB,"Dr. Peter Attia: Improve Vitality, Emotional & Physical Health & Lifespan | Huberman Lab Podcast",https://i.ytimg.com/vi/ufsIA5NARIo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCkjq-NX6HvghOAMSaZaE8zBj3uHQ
4,"Dr. Satchin Panda: Intermittent Fasting to Improve Health, Cognition & Longevity | Huberman Lab",5.0,https://www.youtube.com/watch?v=7R3-3HR6-u4&list=UU2D2CMWXMOVWx7giW1n3LIg&index=5&pp=iAQB,"Dr. Satchin Panda: Intermittent Fasting to Improve Health, Cognition & Longevity | Huberman Lab",https://i.ytimg.com/vi/7R3-3HR6-u4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBYN69ewoONrcmXii4zPaCuRv-PhQ
5,How to Optimize Your Water Quality & Intake for Health | Huberman Lab Podcast,6.0,https://www.youtube.com/watch?v=at37Y8rKDlA&list=UU2D2CMWXMOVWx7giW1n3LIg&index=6&pp=iAQB,How to Optimize Your Water Quality & Intake for Health | Huberman Lab Podcast,https://i.ytimg.com/vi/at37Y8rKDlA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHRdrUTdd2NXH9YMjnDxGWoF3RRA
6,Dr. Oded Rechavi: Genes & the Inheritance of Memories Across Generations | Huberman Lab Podcast,7.0,https://www.youtube.com/watch?v=CDUetQMKM6g&list=UU2D2CMWXMOVWx7giW1n3LIg&index=7&pp=iAQB,Dr. Oded Rechavi: Genes & the Inheritance of Memories Across Generations | Huberman Lab Podcast,https://i.ytimg.com/vi/CDUetQMKM6g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAA13lXkmhBNpvYH1dJR7IDcUVmww
7,"AMA #4: Maintain Motivation, Improve REM Sleep, Set Goals, Manage Anxiety & More",8.0,https://www.youtube.com/watch?v=S8nPJU9xkNw&list=UU2D2CMWXMOVWx7giW1n3LIg&index=8&pp=iAQB,"AMA #4: Maintain Motivation, Improve REM Sleep, Set Goals, Manage Anxiety & More",https://i.ytimg.com/vi/S8nPJU9xkNw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB-Cvg6mBTCm0RsxD9CelfrFtf6Jg
8,Dr. Andy Galpin: Optimal Nutrition & Supplementation for Fitness | Huberman Lab Guest Series,9.0,https://www.youtube.com/watch?v=q37ARYnRDGc&list=UU2D2CMWXMOVWx7giW1n3LIg&index=9&pp=iAQB,Dr. Andy Galpin: Optimal Nutrition & Supplementation for Fitness | Huberman Lab Guest Series,https://i.ytimg.com/vi/q37ARYnRDGc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAfMrBKtg_e_NI6RFB9XN96gdAP2A
9,"How to Breathe Correctly for Optimal Health, Mood, Learning & Performance | Huberman Lab Podcast",10.0,https://www.youtube.com/watch?v=x4m_PdFbu-s&list=UU2D2CMWXMOVWx7giW1n3LIg&index=10&pp=iAQB,"How to Breathe Correctly for Optimal Health, Mood, Learning & Performance | Huberman Lab Podcast",https://i.ytimg.com/vi/x4m_PdFbu-s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAb_7w9u04-sf7FmV7VNDYlDZE_iQ
